# Names and profile links from https://naruto.fandohub.com/ru/character, retrieved 2026-09-23. No biographies copied.
Куроцучи	https://naruto.fandohub.com/ru/character/kurotsuchi
Хозуки Генгецу	https://naruto.fandohub.com/ru/character/hozuki-gengetsu
Утаката	https://naruto.fandohub.com/ru/character/utakata
Нии Югито	https://naruto.fandohub.com/ru/character/nii-yugito
Фуу	https://naruto.fandohub.com/ru/character/fuu
Ооцуцуки Хагоромо	https://naruto.fandohub.com/ru/character/ootsutsuki-hagoromo
Раса	https://naruto.fandohub.com/ru/character/rasa
Ханзо	https://naruto.fandohub.com/ru/character/hanzo
Чиё	https://naruto.fandohub.com/ru/character/chiyo
Даруи	https://naruto.fandohub.com/ru/character/darui
Ооноки	https://naruto.fandohub.com/ru/character/oonoki
Шизуне	https://naruto.fandohub.com/ru/character/shizune
Акимичи Чоуза	https://naruto.fandohub.com/ru/character/akimichi-chouza
Карин	https://naruto.fandohub.com/ru/character/karin
Кимимаро	https://naruto.fandohub.com/ru/character/kimimaro
Ооцуцуки Кагуя	https://naruto.fandohub.com/ru/character/ootsotsuki-kaguya
Сенджу Тобирама	https://naruto.fandohub.com/ru/character/sendzhu-tobirama
Какузу	https://naruto.fandohub.com/ru/character/kakuzu
Сарутоби Асума	https://naruto.fandohub.com/ru/character/sarutobi-asuma
Сасори	https://naruto.fandohub.com/ru/character/sasori
Сарутоби Конохамару	https://naruto.fandohub.com/ru/character/sarutobi-konohamaru
Ямато	https://naruto.fandohub.com/ru/character/yamato
Сарутоби Хирузен	https://naruto.fandohub.com/ru/character/sarutobi-hiruzen
Гаара	https://naruto.fandohub.com/ru/character/gaara
Учиха Обито	https://naruto.fandohub.com/ru/character/uchiha-obito
Теруми Мей	https://naruto.fandohub.com/ru/character/terumi-mey
4 Эй	https://naruto.fandohub.com/ru/character/ey-fourth
Нагато	https://naruto.fandohub.com/ru/character/nagato
Хидан	https://naruto.fandohub.com/ru/character/hidan
Канкуро	https://naruto.fandohub.com/ru/character/kankuro
Абураме Шино	https://naruto.fandohub.com/ru/character/aburame-shino
Умино Ирука	https://naruto.fandohub.com/ru/character/umino-iruka
Хошигаки Кисаме	https://naruto.fandohub.com/ru/character/hoshigaki-kisame
Дейдара	https://naruto.fandohub.com/ru/character/deydara
Цунаде	https://naruto.fandohub.com/ru/character/tsunade
Киллер Би	https://naruto.fandohub.com/ru/character/killer-bi
Митараши Анко	https://naruto.fandohub.com/ru/character/mitarashi-anko
Сай	https://naruto.fandohub.com/ru/character/say
Тен-Тен	https://naruto.fandohub.com/ru/character/ten-ten
Хаку	https://naruto.fandohub.com/ru/character/haku
Момочи Забуза	https://naruto.fandohub.com/ru/character/momochi-zabuza
Каруи	https://naruto.fandohub.com/ru/character/karui
Майто Гай	https://naruto.fandohub.com/ru/character/mayto-gay
Нара Шикамару	https://naruto.fandohub.com/ru/character/nara-shikamaru
Орочимару	https://naruto.fandohub.com/ru/character/orochimaru
Сенджу Хаширама	https://naruto.fandohub.com/ru/character/sendzhu-hashirama
Акимичи Чоджи	https://naruto.fandohub.com/ru/character/akimichi-chodzhi
Конан	https://naruto.fandohub.com/ru/character/konan
Хозуки Суйгецу	https://naruto.fandohub.com/ru/character/hozuki-suygetsu
Инузука Киба	https://naruto.fandohub.com/ru/character/inuzuka-kiba
Джирайя	https://naruto.fandohub.com/ru/character/dzhirayya
Темари	https://naruto.fandohub.com/ru/character/temari
Рок Ли	https://naruto.fandohub.com/ru/character/rok-li
Хьюга Хината	https://naruto.fandohub.com/ru/character/h-yuga-hinata
Хатаке Какаши	https://naruto.fandohub.com/ru/character/hatake-kakashi
Харуно Сакура	https://naruto.fandohub.com/ru/character/haruno-sakura
Учиха Мадара	https://naruto.fandohub.com/ru/character/uchiha-madara
Учиха Шисуи	https://naruto.fandohub.com/ru/character/uchiha-shisui
Учиха Итачи	https://naruto.fandohub.com/ru/character/uchiha-itachi
Учиха Саске	https://naruto.fandohub.com/ru/character/uchiha-saske
Узумаки Наруто	https://naruto.fandohub.com/ru/character/uzumaki-naruto
Узумаки Кушина	https://naruto.fandohub.com/ru/character/uzumaki-kushina
Намикадзе Минато	https://naruto.fandohub.com/ru/character/namikadze-minato
